prefecture,prefectureLabel,position,positionLabel,person,personLabel,start,psid
Q131281,Ishikawa Prefecture,Q51199497,governor of Ishikawa Prefecture,Q982469,Masanori Tanimoto,1994-03-27,Q982469-f76556d6-4d48-8786-a620-90e805b745b3
Q48326,Iwate Prefecture,Q51198750,governor of Iwate Prefecture,Q49869,Takuya Tasso,2007-04-08,Q49869-8d615fed-4614-6856-8759-3413722006c4
Q161454,Kagawa Prefecture,Q51200015,governor of Kagawa Prefecture,Q1738107,Keizō Hamada,2010-09-05,Q1738107-2c60de27-4d8a-222c-e5e0-02454cfe68c7
Q15701,Kagoshima Prefecture,Q51200145,governor of Kagoshima Prefecture,Q97291648,Kōichi Shiota,2020-07-28,Q97291648-8DC9A2F0-0CB4-481F-A600-9A30A23A3D54
Q127513,Kanagawa Prefecture,Q51199494,governor of Kanagawa Prefecture,Q655960,Yūji Kuroiwa,2011-04-23,Q655960-708113a6-4033-6cd6-488e-7372a0b34e25
Q130308,Kumamoto Prefecture,Q51200141,governor of Kumamoto Prefecture,Q1658176,Ikuo Kabashima,2008-04-16,Q1658176-17013fc4-4f33-9e59-74d4-106554d405b4
Q120730,Kyōto Prefecture,Q27697103,governor of Kyoto,Q50824931,Takatoshi Nishiwaki,2018-04-16,Q50824931-A2D9E8AD-A482-44DA-905E-CD85D9FA5A62
Q134093,Kōchi Prefecture,Q51200133,governor of Kōchi Prefecture,Q80073979,Seiji Hamada,2019-12-07,Q80073979-762E3764-27D4-4357-9970-84126BECEEF8
Q128196,Mie Prefecture,Q51199837,governor of Mie Prefecture,Q100454684,Katsumi Ichimi,2021-09-14,Q100454684-5b5854ad-49fe-2fde-6741-6da1a708caf7
Q47896,Miyagi Prefecture,Q51199070,governor of Miyagi Prefecture,Q377940,Yoshihiro Murai,2005-11-21,Q377940-b4405de6-434e-0a86-2939-22db772afb27
Q130300,Miyazaki Prefecture,Q51200144,governor of Miyazaki Prefecture,Q1804854,Shunji Kōno,2011-01-21,Q1804854-353977f9-4965-6329-6db3-21dce90b56ef
Q127877,Nagano Prefecture,Q51199689,governor of Nagano Prefecture,Q2280320,Shuichi Abe,2010-08-01,Q2280320-9f9c0354-42aa-e745-70fa-d09f213134a3
Q169376,Nagasaki Prefecture,Q51200139,governor of Nagasaki Prefecture,Q52349,Hōdō Nakamura,2010-03-02,Q52349-9234e14c-44b5-334e-61ed-0f80d4c009d0
Q131287,Nara Prefecture,Q51199845,governor of Nara Prefecture,Q1247261,Shōgo Arai,2007-05-03,Q1247261-cf0cdba9-444e-f38c-e062-819db04a7938
Q132705,Niigata Prefecture,Q19962694,governor of Niigata Prefecture,Q54913364,Hideyo Hanazumi,2018-06-10,Q54913364-cf968bd5-473e-a169-5431-3dbd0388b808
Q132936,Okayama Prefecture,Q51200007,governor of Okayama Prefecture,Q11379176,Ryūta Ibaragi,2012-11-12,Q11379176-fdf7eaa1-4b38-90e0-bc0e-2ee93af8c54a
Q766445,Okinawa Prefecture,Q51200146,governor of Okinawa Prefecture,Q11572466,Denny Tamaki,2018-10-04,Q11572466-ce423503-4abc-bf49-fe6b-8e624663a07f
Q160420,Saga Prefecture,Q51200136,governor of Saga Prefecture,Q18818272,Yoshinori Yamaguchi,2015-01-14,Q18818272-350b2d27-440f-6ebc-7078-b9d69122d9a6
Q128186,Saitama Prefecture,Q51199298,governor of Saitama Prefecture,Q6140287,Motohiro Ōno,2019-01-01,Q6140287-e6c650c4-4eaa-ec72-9137-801312be7302
Q131358,Shiga Prefecture,Q51199840,governor of Shiga Prefecture,Q7676684,Taizo Mikazuki,2014-07-20,Q7676684-6deb4176-4674-2291-201a-f95fe53bdfb1
Q132751,Shimane Prefecture,Q51200006,governor of Shimane Prefecture,Q64783824,Tatsuya Maruyama,2019-04-30,Q64783824-9A57B3C4-E8B1-46B1-BEC8-330FE51AF5F1
Q131320,Shizuoka Prefecture,Q51199693,governor of Shizuoka Prefecture,Q1505020,Heita Kawakatsu,2009-07-07,Q1505020-0e0534c1-48f2-fa3c-f6eb-dafa8e998b6c
Q44843,Tochigi Prefecture,Q51199279,governor of Tochigi Prefecture,Q455915,Tomikazu Fukuda,2004-12-09,Q455915-5698516e-4e35-7066-bc65-2da1a08edd75
Q160734,Tokushima Prefecture,Q51200013,governor of Tokushima Prefecture,Q1670854,Kamon Iizumi,2003-05-18,Q1670854-8ea06c19-4e10-9c13-4b88-e92230fd3fe0
Q1490,Tokyo,Q11525354,Governor of Tokyo,Q261703,Yuriko Koike,2016-08-02,Q261703-c5e8e333-4c5b-69d8-be3e-81fa0c764604
Q133935,Tottori Prefecture,Q51200002,governor of Tottori Prefecture,Q1326985,Hirai Shinji,2007-04-13,Q1326985-0cdd516e-43fd-8bcc-6ef8-954009dc6f45
Q132929,Toyama Prefecture,Q51199496,governor of Toyama Prefecture,Q50640705,Hachiro Nitta,2020-11-09,Q50640705-62f15103-4f38-cce0-cfcc-6eea13720cb8
Q131314,Wakayama Prefecture,Q51199847,governor of Wakayama Prefecture,Q453168,Yoshinobu Nisaka,2006-12-17,Q453168-fc1f5c8d-42ff-5817-1bf9-b68ca93d21ac
Q125863,Yamagata,Q51199075,governor of Yamagata Prefecture,Q529418,Mieko Yoshimura,2009-02-14,Q529418-42f6268f-4226-b30e-b26a-e6059f26aaa3
Q127264,Yamaguchi Prefecture,Q51200012,governor of Yamaguchi Prefecture,Q15830756,Tsugumasa Muraoka,2014-02-25,Q15830756-6043d43d-43de-42b4-f56a-ae272d73d1cb
Q132720,Yamanashi Prefecture,Q51199686,governor of Yamanashi Prefecture,Q6433881,Kotaro Nagasaki,2019-02-17,Q6433881-DA193DE9-3C50-4963-8338-FC9FFC5C7EAD
Q133924,Ōita Prefecture,Q51200142,governor of Ōita Prefecture,Q1736802,Katsusada Hirose,2003-04-28,Q1736802-a83bb638-409c-7650-2b78-7f73adcb0de0
Q122723,Ōsaka Prefecture,Q15063280,Governor of Osaka Prefecture,Q21529384,Hirofumi Yoshimura,2019-04-08,Q21529384-c612e874-44d5-809b-7237-0106a5f4a64c
